,Header,Review,Rating,Date
0,"Rude staff, overall enjoyable",generally good of course it would be but i was surprised that many of the workers were very rude with us sure the ones who are supposed to play evil characters it makes sense and it s funny but i was surprised that not once but multiple times there were multiple crew members who acted and spoke very rudely with my cousins and me also most lines were over an hour or more long but that s to be expected best way to solve that would probably be to limit the tickets sold per day but that would probably raise ticket prices so who knows the only reason i gave it a star is because i m a star wars fan and i loved galaxy s edge,4,2022-05-08
1,Loved it!,i go to disneyland every couple of years or so it has always been a star experience except for today it just felt more like a chore today that special feeling wasn t there i encountered employees that were short with guests on numerous occasions today yelling at guests in line over the pa system because they had not seen the line move talking back to guests in the past they have been much more patient i think also there is a misrepresentation of minorities when it comes to the cast members prices are high but that s expected we won t be back for a long time better to try one of the other theme parks in the area ,5,2022-05-06
2,Lacking. Changing for the worse.,had a great time here i enjoyed this park better the wdw can t wait to go back it was a great time and i had a lot fun i was when i went ,3,2022-05-05
3,My first time and I loved it!!,i was at the park the other week and i was on my way to one of the rides and i was attacked verbally by a employee they offended me by saying things about my lgbtq son who is only years old and things about my hair and my fur suit i am really offended ,5,2022-05-04
4,terreable,we were fortunate enough to take our year old it was our first time being here and i honestly did not see the magic everyone talks about and rarely saw any characters walking around the one thing my daughter wanted to do was see the princesses although she did enjoy what she saw the whole thing lacked all the magic i heard about it i was not aware that the princesses were only there from and not all of them are always there so if your little one is looking to meet a specific one they may be disappointed the cast members running these lines are not very friendly super short which is unfortunate i am sure they get tired with all the people they deal with there was an older gentleman each time we went diff days and he was answering in only yes or no and felt like pulling teeth at some point i did have to laugh a little as the chaos around here is on another level and it sure is not the happiest place on earth ha this place is mostly designed for adults and older kids imo i think we paid too much for the tickets for what we got out of it with that being said we did have more pleasant experiences with most employees than not i hope they get paid well the bippity boppity boutique was was the only place i feel i didn t waste my money ,1,2022-05-03
5,It's ok,it was my first time last sunday at disneyland and as i studied tourism management it was always my dream to work there once however i am glad i never did as the whole experience was so disappointing all the rides are so old break down all the time and the staff is so unfriendly this is certainly not what i expect when i pay usd per person and kid we went last sunday to disneyland with our little kids luckily we got genie fast tickets otherwise we would not have been able to ride a lot however all the little kids rides like tea part dumbo alice peter pan do not have fast lanes so it makes actually no sense to buy genie for little kids however for the first ride i waited min with my son for rise of the resistence only that it is breaking down while we are on the ride we got fast lane tickets to come back later but as everybody got it it of course took over min on the fast lane later as well a friend who is going to disneyland all the time was kind of shocked when i told him that we did not got fast passes for everywhere for the whole day which was common a few years ago as we wasted hours for not beeing able to ride ride of the resistence when we wanted to do the rider switch at thounder mountain it was broken down as well and when we were riding space mountain it broke down while we were on the ride the staff even had to push us to the station the kids were scared from the dark and a broken down ride and the worst was that there was never an apology or anything not even an offer to ride it again and even with genie you can only do each ride once in the fast lane also buzz lightyear s space ranger spin and splash mountain broke down when we were on it is nice that genie pass includes all pictures for free however there was barely a chance to take pictures my kids wanted to take pictures with minnie and mickey mouse but this park area was under construction there was a min queue for princess pictures and on rides only space mountain and splash mountain took pictures furthermore i was very shocked by the none existence of staff training like nobody heard before of creatina a positive customer experience we went for lunch to naples while we were still waiting for our pizza my husband got bis ordered gnocchi but no cuttlery was on the table he had to wait and we even had to ask for it we bought icecream next to autopia i bought the frozen banana which shows on the pictures with just black chocolate around the sales person even told us if it is fine with nuts yes i am fine with all kind of nuts but not peanuts so why can she not say its with penanuts i would have never bought this the worst staff experience was shortly before the parade min before the start they told us we should go away cause all the spots are taken and we can not watch it we should come back hours later with our little kids seriously i do not unterstand why people are not allowed to stand behind the people sitting on the seats there would have been enough space they just did not let us go there it should not be surprising that everybody wants to see the parade why is your car management better than crowd management covid spread prevention measurements are all out of place you can barely find hand sanitizer nobody wears a masked and when queuing or on the rides of course you can not keep a distance also pricing wise i do not understand why they charge full price for kids above our year old is so litte she is under and was not allowed on many of the rides it would definitely be more fair if pricing is not according to age but according to the kids height ,3,2022-05-02
6,"Not worth the money, rides broken down all the time",we had a really good time there but there were times where the price we paid really was not justified you have to be really early like ish to be right at the front of entrance but they have the rope midway in the park and that makes an enormous amount of people to queue altogether all at once then you frantically get to the ride rise of resistance for us and as we got there ride was not working from the very beginning of the day and that was not the only one about of them were broken luckily we stayed in the queue and after about mins waiting we managed to do it and it was unbelievably mind blowing the new genie plus system is ok but really another way of extracting money from you and not giving you more perks than the old free fast pass was saying that we managed to do a few rides on genie plus in the morning but comes ish you are then looking at late afternoon to book rides park is very busy didn t feel like they were working on restricted number but we did have lots of fun and loved the star wars area pirates of caribbean is currently under renovation and unfortunately the blue bayou restaurant was partially closed and surrounded by a wall so we cancelled our reservation which was done ages ago the other annoying thing is that you are ending up being glued on your phone trying to book stuff app freezes a lot and we started to run out of battery and there was nowhere to recharge and without a phone you really struggle to know what s happening they need to sort the app out and give free charging points to people ,1,2022-04-28
7,Live experience no longer there,fun fun fun it is really the happiest place on earth we took the entire family of we all had a marvelous time ,3,2022-04-28
8,No longer the happiest place on Earth,old dated all the good rides keep breaking down even in the quiet season the lines are an hour long for those rides still operating at one point space mountain star tours haunted mansion star wars matterhorn bobsleds and pirates of the caribbean were all out of action in the middle of the day people were all standing around not sure what to do funny how the shops and eateries never break down the gouging continues because their prices have gone up and you now have to pay extra for the replacement of the previously free fastpass system and the replacement isn t as good you are now expected to use an online map on your teeny tiny phone screen instead of giving a paper map to all guests and your tickets are online and they photo you on entrance which slows the lines down they open the gates before advertised start time but only the shops are open the rides areas remain blocked off until the stroke of opening time bad luck if your phone battery dies during the day no more map nowhere to charge up yes their crowd management is still superb the park is uber clean but with such high prices no rides no parade its awful value and we had a miserable miserable time wait another years before you go it might be ok then ,1,2022-04-24
9,Unhappiest Place on Saturday,the last time i was at disney was and i used to live in socal blasphemy i know this was the first time my daughter went to disney so it was a big deal we bought tickets at a local military base since my husband is retired military if you are military i highly recommend getting your tickets at your local base you save quite a bit we did a day pass park per day security and ticket checks were a breeze we waited no longer than minutes it was quite busy at am but the employees are efficient i love the disney app that shows you maps of the park wait times for the rides nearest bathrooms performance times etc prices for food are still crazy overpriced so it s highly recommended to bring your own lunches and snacks water fountains aren t as readily available so map those out early and top up whenever you see one the wait lines weren t too terrible the longest we waited was hour for the new star wars ride and that s because we got lucky when it reopened the average wait time was minutes for that ride it could be much better the actors are overly focused on the color you stood on at the beginning of the experience and then making people move around if they don t sit in the right colored seat massive waste of time honestly unless you re a big star wars fan it wasn t worth the wait pirates of the caribbean was closed for refurbishment splash mountain kept shutting down so we didn t get to ride it overall the ride situation was better at disneyland than california adventure rides not worth more than minute wait star wars new ride any of the fair rides like dumbo tea cups etc the second day we did california adventure we arrived by am and it was the same as the previous day in terms of wait and numbers of people the brisket fries they had for the wine fest were delicious overall the food choices here were better than disneyland the ghiradelli store had tasty frappes and they offer a military discount improvements that need to be made are rides closed for maintenance and constant shut downs at one point there were rides shut down at the same time this isn t cool especially for people who travel out of state and out of country to visit disney and only have days to spend at the park also the number of people they let in for the lightning pass compared to people waiting in line is total garbage i counted on the monsters inc ride they let in lighting passes and people in the regular line up what a joke disney makes a ton of money as it is stop being greedy eliminate the lightning line and make everyone wait in the same line rides not worth more than minute wait grizzly falls monsters inc junkyard junkers zephyr next visit we ll likely skip disney and do universal studios ,2,2022-04-23
